date,bdi,Mode00,Mode01,Mode02,Mode03,Mode04,Mode05,Mode06,Mode07,Mode08,Mode09,Mode10
2020/4/5,616.0,-0.66708755,-9.241383,23.57377,-2.694823,8.010076,-110.841225,-445.21463,-88.1186,236.93466,-148.22249,1139.0898
2020/4/6,604.0,-4.611893,-2.6041656,4.386749,11.262077,14.073506,-136.08153,-412.93042,-86.10086,264.64923,-182.67441,1137.1284
2020/4/7,596.0,-0.16776124,2.0377586,7.434756,11.385186,4.9105053,-77.49087,-440.0213,-96.62222,240.6199,-170.57922,1144.0406
2020/4/8,607.0,5.0188093,-4.3216014,-0.45549583,15.469938,-0.10610938,-69.89189,-453.44257,-96.51434,271.19833,-212.32915,1156.6239
2020/4/9,635.0,-2.9314058,-3.9912426,-12.338819,9.864577,0.9116998,-54.912315,-456.13278,-99.37223,224.92688,-142.80974,1130.9137
2020/4/10,635.0,-3.2475975,8.32362,-8.33456,11.285051,0.34374666,-64.19046,-454.24234,-97.16691,243.8071,-165.96782,1134.99
2020/4/11,635.0,-2.3446574,9.571461,-5.6389413,17.109026,0.8152778,-35.90775,-454.54077,-111.96939,237.15868,-164.2335,1131.1271
2020/4/12,635.0,-4.426535,6.2123404,8.806463,13.183319,13.051446,-85.218414,-422.39728,-102.35502,272.2442,-212.58214,1150.9095
2020/4/13,635.0,-2.631837,-4.552181,-6.897555,13.564018,-2.49316,-34.472103,-457.177,-111.24524,248.14796,-182.89351,1147.7191
2020/4/14,679.0,-6.372794,0.18777509,1.977834,18.788834,-0.26906204,-4.0688763,-452.96555,-117.9682,249.4921,-201.52724,1147.0653
2020/4/15,706.0,-6.162056,-1.3533278,4.063153,19.180626,-6.5677853,-0.24442661,-466.36652,-115.65257,206.30719,-125.76712,1121.8934
2020/4/16,726.0,-3.443284,10.126321,4.2895155,22.815723,20.167364,-40.593704,-431.44833,-122.424515,241.16399,-189.26393,1153.9252
2020/4/17,751.0,-3.0620468,14.175041,26.86346,22.595219,15.222068,-32.064552,-431.19092,-116.28739,246.86687,-182.13513,1136.5465
2020/4/18,751.0,-3.5358949,4.2545967,31.567635,36.905712,20.953232,-21.250046,-431.88248,-119.76146,221.43486,-153.61855,1125.738
2020/4/19,751.0,-0.52080417,-3.5282698,26.28817,48.287327,27.257221,-11.295338,-434.1618,-122.25639,210.96254,-127.271286,1119.6582
2020/4/20,757.0,3.6632338,8.286042,25.57855,49.227398,37.93949,-23.200083,-424.92923,-121.600494,260.07977,-193.88809,1139.5281
2020/4/21,728.0,-1.45249,-10.504679,18.507036,55.170235,38.88936,5.8268814,-422.96136,-123.32497,227.03874,-173.22183,1130.9602
2020/4/22,694.0,-4.307014,6.3921137,-5.2277365,46.916607,54.864357,10.07551,-438.77243,-116.44025,221.83644,-152.27547,1123.3658
2020/4/23,672.0,-0.3232095,-11.353154,-0.7315129,38.110397,52.71869,4.9709153,-401.05295,-141.1841,213.49551,-139.56201,1117.6393
2020/4/24,665.0,4.294371,-21.504831,-24.666468,31.42308,44.14049,11.437062,-429.70486,-124.176895,225.6684,-142.40175,1116.7185
2020/4/25,665.0,5.8239136,0.6475823,-42.9206,17.156805,44.162663,29.77635,-427.73364,-128.56047,238.44781,-192.77927,1134.8798
2020/4/26,665.0,-5.09308,-4.9864507,-36.053993,-10.102721,41.289413,68.66108,-458.55826,-129.36548,233.07974,-176.8368,1129.6196
2020/4/27,661.0,-1.8698744,3.8795087,-22.340551,-6.7163486,38.769234,41.178364,-405.5532,-144.90157,216.28763,-148.74539,1110.2593
2020/4/28,655.0,0.84598434,-0.104599684,-34.91297,-19.836126,38.317238,68.77141,-430.64667,-141.50027,212.12051,-148.59668,1117.8365
2020/4/29,643.0,-4.8279843,-0.3891483,-31.634628,-23.503387,24.389482,51.98845,-419.54633,-143.82512,232.07974,-170.43079,1118.3376
2020/4/30,635.0,3.627183,6.728186,-2.9893599,-31.102463,34.391323,74.48319,-429.0885,-144.74619,200.00613,-119.16106,1099.0513
2020/5/1,617.0,1.7229705,2.2361712,-9.745153,-36.963146,24.462732,50.531013,-400.76337,-144.18991,241.20291,-199.67348,1123.1279
2020/5/2,617.0,3.46489,-4.478781,-3.275182,-46.88818,18.126852,66.115425,-425.502,-140.90326,201.93387,-135.29218,1103.8682
2020/5/3,617.0,2.4757378,-6.967198,-8.305232,-44.126907,4.340667,65.91224,-412.80432,-148.38799,236.54807,-202.65376,1132.5815
2020/5/4,598.0,-2.3514771,2.719872,-18.520935,-48.093575,6.7233295,86.66978,-410.54492,-153.429,193.66534,-139.05992,1097.9236
2020/5/5,575.0,8.232943,-5.7968607,-4.4286427,-41.13277,-7.5801115,87.63187,-406.67862,-157.73534,182.40744,-124.96304,1102.1055
2020/5/6,534.0,0.8015895,-2.704264,-4.0368724,-55.060905,-14.013424,68.48083,-400.471,-146.7076,178.28899,-129.0739,1102.7958
2020/5/7,514.0,6.6769905,-13.341918,-18.532562,-46.159534,-20.432283,48.385906,-362.92987,-168.84917,192.67183,-160.65524,1111.3091
2020/5/8,514.0,1.4093536,-7.252421,-15.194965,-46.351788,-28.834324,69.709076,-397.68082,-156.10986,169.78197,-122.79405,1103.1014
2020/5/9,514.0,-5.268111,-2.1753569,-17.585918,-66.38486,-41.637165,62.6264,-373.2028,-179.72897,211.35826,-179.1707,1116.9226
2020/5/10,514.0,-1.1277709,5.7111225,-16.502502,-55.763092,-48.635246,64.21118,-363.88638,-184.6494,184.39323,-140.8906,1098.4594
2020/5/11,474.0,1.5829829,9.759629,-27.559446,-60.326088,-63.965263,69.23262,-382.98013,-179.65997,205.18413,-177.92853,1112.1622
2020/5/12,433.0,0.96611416,-10.673499,-14.132075,-56.32202,-64.95166,62.474182,-382.4399,-183.03241,193.1488,-136.59673,1094.4026
2020/5/13,398.0,4.5190234,-15.971321,-9.3383665,-57.04911,-65.75679,46.932896,-378.33698,-176.38373,169.6412,-110.65468,1082.094
2020/5/14,393.0,6.740395,-37.2808,-15.313328,-71.16898,-73.14521,46.309452,-353.00104,-185.6786,164.15498,-124.64162,1086.952
2020/5/15,407.0,1.4633025,-15.319643,-48.67532,-76.074814,-87.42378,42.462273,-349.99686,-193.7644,174.19635,-153.58676,1099.221
2020/5/16,407.0,-3.189179,-0.2660612,-31.422808,-72.93044,-97.202835,30.742876,-355.51834,-183.73643,192.74089,-157.8162,1087.6505
2020/5/17,407.0,7.7763414,20.64089,-19.197298,-62.54905,-108.13597,24.335098,-346.76675,-196.72304,161.35608,-115.31897,1080.4996
2020/5/18,427.0,8.589032,7.512017,-3.1110027,-58.247597,-105.2432,15.73051,-372.38486,-180.01898,166.85974,-128.04652,1087.9357
2020/5/19,453.0,-5.6181507,7.381599,3.2041914,-54.06837,-108.141815,16.445398,-359.16843,-204.71619,206.79408,-195.28494,1113.991
2020/5/20,477.0,-6.453937,7.7749715,-0.120958015,-36.68539,-108.37071,-7.6070604,-377.38605,-167.65512,166.557,-138.0036,1090.0988
2020/5/21,494.0,-5.738137,0.7100568,33.092037,-42.280308,-110.20959,-3.7287664,-355.18613,-190.96346,172.46637,-143.1713,1087.8079
2020/5/22,498.0,-8.923765,5.928275,26.01566,3.660184,-101.84894,-15.674528,-354.74692,-201.87157,162.51234,-109.35939,1082.5703
2020/5/23,498.0,0.15429579,5.5696764,35.909607,0.41845348,-101.16388,-15.33547,-356.29785,-200.18086,164.45956,-123.04607,1083.1647
2020/5/24,498.0,5.0247827,-4.642624,44.11536,19.842321,-91.48639,-33.256195,-366.39093,-177.93364,179.93686,-137.6547,1077.1852
2020/5/25,498.0,3.5193343,6.0303526,22.733223,28.14428,-86.310875,-21.62716,-356.09705,-197.82043,176.66965,-154.40123,1094.0907
2020/5/26,506.0,-0.37983996,-12.008594,6.68558,33.353252,-72.411026,-43.41346,-360.70804,-180.7776,136.25859,-74.86658,1062.8898
2020/5/27,502.0,-4.851143,-11.82354,3.8660445,49.007107,-73.218056,-41.026108,-351.8551,-189.57695,146.67468,-106.06604,1079.1008
2020/5/28,489.0,-3.3655264,4.0645385,1.63458,40.72155,-62.982586,-17.56758,-376.88995,-189.78511,183.55133,-145.089,1081.3602
2020/5/29,504.0,-0.13060863,5.030777,-25.659538,52.234135,-54.2886,-42.313103,-378.67963,-174.3365,124.861595,-44.743027,1047.1392
